count;dtCon
1;7
2;4
3;4
4;4
5;4
6;3
7;4
8;4
9;3
10;4
11;3
12;3
13;4
14;3
15;3
16;4
17;3
18;4
19;3
20;4
21;4
22;3
23;3
24;4
25;4
26;3
27;4
28;4
29;4
30;3
31;3
32;3
33;4
34;3
35;4
36;3
37;4
38;3
39;4
40;3
41;4
42;3
43;4
44;3
45;4
46;3
47;3
48;4
49;3
50;3
51;4
52;3
53;4
54;4
55;4
56;4
57;3
58;3
59;4
60;4
61;4
62;3
63;4
64;3
65;4
66;4
67;4
68;4
69;3
70;4
71;4
72;3
73;3
74;4
75;3
76;3
77;3
78;4
79;3
80;3
81;4
82;4
83;4
84;3
85;4
86;4
87;3
88;4
89;4
90;4
91;4
92;3
93;4
94;4
95;3
96;3
97;4
98;3
99;3
100;3
